Id,drugName,condition,rating,date,usefulCount
215739,C**,B*,10,2017/3/8,2
17358,Z**,O*,10,2009/8/28,42
61315,C**,D*,9,2017/10/8,12
173043,C**,A*,10,2012/5/3,32
32569,L**,H*,9,2009/5/3,63
178802,V**,D*,9,2014/7/25,64
188582,P**,B*,10,2016/10/5,9
130599,L**,B*,2,2012/8/16,7
60623,C**,A*,10,2010/10/20,23
53301,Q**,A*,10,2017/4/17,3
165782,L**,B*,9,2017/3/24,7
229932,F**,B*,7,2015/9/26,56
200029,V**,S*,10,2015/11/1,10
101328,A**,B*,4,2016/11/27,2
78656,O**,O*,1,2016/9/19,54
63531,E**,A*,9,2015/6/24,8
104604,E**,B*,9,2011/6/3,2
211675,L**,B*,7,2017/11/22,1
23033,M**,O*,10,2017/3/31,20
90624,D**,H*,8,2014/12/4,16
170126,Q**,I*,10,2017/2/21,28
9471,L**,B*,5,2016/8/3,5
222701,T**,M*,1,2015/9/14,31
202071,B**,A*,9,2016/4/10,0
80214,B**,C*,1,2015/6/24,7
186168,D**,D*,9,2014/5/27,124
31269,M**,V*,1,2016/8/19,3
82107,L**,W*,10,2016/4/24,19
20525,V**,S*,9,2011/2/18,59
178661,V**,D*,10,2017/1/31,5
112481,T**,P*,2,2013/10/28,12
212579,V**,N*,10,2009/9/4,42
59975,N**,B*,4,2015/7/9,5
217194,C**,H*,1,2017/11/19,0
140981,E**,G*,10,2016/3/22,78
21543,E**,N*,9,2016/1/29,43
20792,O**,M*,1,2015/5/2,8
165916,L**,B*,10,2017/3/5,7
15803,E**,B*,10,2016/8/10,3
55401,B**,O*,5,2015/10/20,16
99926,M**,B*,8,2016/2/2,6
25794,E**,B*,10,2012/6/14,4
154486,C**,P*,2,2013/2/4,24
219976,A**,i*,9,2016/3/8,34
48043,C**,B*,2,2017/6/19,0
92195,L**,R*,1,2009/12/7,9
100775,O**,O*,7,2016/4/15,54
166338,L**,E*,4,2016/11/21,2
96783,N**,P*,10,2008/4/28,183
196792,P**,D*,1,2017/5/1,20
50870,A**,S*,9,2017/5/30,1
103910,E**,B*,2,2014/9/10,22
46285,M**,D*,10,2016/3/10,48
11488,P**,R*,8,2017/6/21,8
32533,L**,H*,8,2011/5/30,52
216987,O**,B*,8,2015/12/5,43
169720,A**,M*,3,2011/11/12,8
17067,F**,M*,7,2015/10/25,68
39281,C**,W*,1,2017/3/10,6
19288,P**,N*,1,2016/7/6,36
29976,K**,A*,7,2016/7/10,76
185717,S**,O*,10,2016/5/23,45
17919,E**,B*,10,2013/1/10,4
127940,P**,W*,10,2016/11/10,0
142138,E**,D*,8,2008/7/17,3
149818,M**,B*,10,2012/1/2,41
97798,N**,B*,4,2015/11/5,3
57023,R**,G*,10,2009/3/3,60
45142,F**,A*,1,2016/7/28,26
124716,T**,B*,9,2016/12/30,5
30503,M**,I*,9,2016/4/10,2
160269,B**,A*,8,2017/6/12,8
220603,L**,A*,3,2011/6/10,5
100597,D**,B*,2,2010/9/15,3
81752,L**,O*,8,2017/4/18,21
104983,E**,O*,1,2009/7/14,6
145328,L**,K*,5,2016/11/7,0
183832,O**,D*,10,2017/2/21,3
98955,L**,B*,8,2016/10/9,18
27784,L**,A*,9,2017/5/17,23
213149,N**,4*,3,2015/6/26,4
110775,I**,D*,8,2016/3/28,6
50833,A**,C*,6,2017/8/16,4
227368,E**,B*,9,2013/9/1,4
180234,D**,P*,10,2017/5/3,3
190827,L**,P*,8,2016/1/23,42
106730,I**,B*,8,2015/6/14,6
78638,F**,B*,1,2016/2/3,0
164062,I**,P*,10,2011/5/3,18
182185,C**,D*,9,2014/9/3,86
36939,L**,A*,10,2017/1/9,19
152146,C**,S*,9,2009/3/20,17
73448,E**,B*,9,2013/11/30,8
49871,G**,D*,8,2016/3/24,8
99180,L**,0*,10,2011/10/24,0
90058,A**,P*,2,2015/9/23,2
73486,E**,B*,6,2013/9/2,11
94743,A**,B*,1,2014/9/15,13
110307,N**,B*,10,2016/2/29,5
192089,D**,B*,9,2016/10/7,10
221031,J**,5*,10,2011/9/29,5
106825,I**,B*,9,2015/1/7,13
134922,P**,S*,9,2015/2/19,76
217482,C**,B*,8,2015/3/26,18
32453,L**,H*,6,2013/5/28,74
221549,N**,D*,10,2009/5/25,0
102611,A**,D*,9,2016/1/10,146
112471,A**,G*,10,2012/3/9,5
34428,B**,H*,10,2009/11/19,93
86360,M**,*a,4,2012/5/16,16
80508,M**,O*,1,2017/5/4,4
12474,O**,B*,8,2016/2/17,29
95099,G**,A*,8,2017/10/17,3
119187,N**,V*,1,2013/10/21,24
4966,O**,B*,10,2016/9/27,7
30229,K**,P*,10,2013/3/6,176
98190,N**,B*,1,2015/7/7,12
151881,C**,S*,10,2012/5/4,9
112987,B**,C*,1,2017/3/21,15
160698,B**,A*,7,2012/9/10,12
69708,I**,O*,10,2015/10/10,29
165737,L**,B*,8,2017/4/6,1
157844,A**,A*,10,2013/5/14,17
147773,N**,B*,1,2017/4/28,4
7679,X**,A*,10,2014/2/25,136
35943,B**,O*,10,2013/7/13,41
18797,E**,U*,6,2012/7/22,25
65660,P**,M*,10,2016/12/27,19
91204,B**,M*,10,2015/2/4,101
76725,L**,W*,10,2016/9/5,34
96270,S**,D*,9,2011/3/29,36
214323,T**,V*,1,2015/12/29,4
111165,L**,H*,2,2017/2/20,8
49221,E**,B*,5,2016/5/17,1
27049,U**,P*,1,2009/6/25,31
13946,B**,D*,10,2013/1/23,55
191650,L**,A*,3,2013/4/15,28
180096,P**,P*,2,2016/12/17,7
232125,I**,C*,9,2011/10/20,16
123993,S**,B*,10,2016/8/1,1
63972,S**,D*,2,2017/6/28,14
94094,T**,M*,7,2016/1/20,26
38975,C**,W*,10,2017/11/23,1
52527,A**,H*,2,2015/9/9,29
106328,I**,B*,8,2017/1/7,3
140332,A**,S*,6,2011/5/25,9
155506,M**,D*,10,2014/12/12,30
144126,E**,B*,7,2016/6/22,3
176678,L**,A*,10,2009/9/11,103
157033,M**,C*,10,2015/10/29,29
88816,N**,B*,10,2015/3/3,4
152739,D**,B*,10,2017/11/20,1
182120,P**,C*,9,2008/3/29,25
54932,B**,W*,10,2016/10/21,22
109137,N**,B*,9,2017/3/29,0
184726,C**,D*,8,2016/4/20,25
161144,R**,A*,10,2011/2/17,146
106299,I**,B*,10,2017/9/15,4
212051,L**,B*,10,2015/2/19,29
10618,M**,B*,9,2017/6/15,6
180516,F**,A*,8,2016/10/20,17
166696,L**,B*,10,2016/9/9,8
206859,D**,A*,7,2013/10/15,25
123692,S**,B*,4,2017/3/11,3
185586,S**,O*,8,2017/3/3,21
33271,M**,B*,8,2016/11/21,1
191222,P**,C*,8,2015/8/16,5
207863,S**,B*,10,2015/4/30,12
217421,C**,B*,10,2015/12/26,25
53030,Z**,N*,10,2012/9/1,10
172607,C**,S*,1,2015/9/6,8
160403,B**,A*,8,2016/7/11,4
93474,P**,U*,8,2008/11/13,53
191024,C**,A*,10,2015/12/26,85
93158,V**,D*,10,2015/12/4,108
111899,G**,B*,6,2011/9/2,2
132084,T**,O*,10,2009/10/31,28
175508,S**,N*,9,2008/2/26,8
86568,I**,D*,10,2015/3/22,49
176178,L**,A*,1,2017/7/15,4
20837,R**,I*,4,2011/12/23,31
140898,E**,G*,10,2016/1/19,37
64727,S**,S*,10,2015/10/2,2
31456,M**,V*,1,2016/4/27,5
39533,C**,O*,8,2016/5/3,27
144950,E**,B*,1,2015/12/27,4
42401,A**,H*,7,2009/6/18,33
82185,L**,O*,10,2016/2/3,31
17572,E**,B*,10,2016/10/4,5
56722,M**,M*,10,2017/3/12,7
6251,G**,P*,8,2013/9/18,53
206241,M**,C*,7,2016/11/22,6
169001,V**,D*,10,2012/6/22,25
231092,M**,i*,8,2009/8/14,99
3167,N**,U*,5,2016/12/18,0
137788,E**,R*,8,2014/6/3,47
166186,L**,B*,10,2016/12/31,5
92931,V**,D*,1,2017/1/18,8
36221,I**,K*,9,2016/9/13,8
179573,A**,A*,9,2017/4/17,11
140387,S**,C*,9,2009/2/17,52
228819,T**,E*,10,2017/10/2,13
73648,E**,B*,8,2013/3/12,7
119601,T**,H*,10,2010/10/4,33
164821,P**,W*,10,2017/3/26,6
107934,E**,B*,8,2016/12/14,6
90704,C**,B*,10,2016/5/16,6
57587,A**,B*,8,2017/2/11,16
228384,B**,P*,7,2011/5/27,46
3819,F**,H*,10,2009/4/15,40
534,M**,B*,4,2015/3/15,0
30138,K**,B*,10,2013/9/27,23
