Id,drugName,condition,rating,date,usefulCount
215739,Copper,Birth Control,10,2017/3/8,2
17358,Zantryl,Obesity,10,2009/8/28,42
61315,Citalopram,Depression,9,2017/10/8,12
173043,Clonazepam,Anxiety,10,2012/5/3,32
32569,Lisinopril,High Blood Pressure,9,2009/5/3,63
178802,Victoza,"Diabetes, Type 2",9,2014/7/25,64
188582,ParaGard,Birth Control,10,2016/10/5,9
130599,Levonorgestrel,Birth Control,2,2012/8/16,7
60623,Claravis,Acne,10,2010/10/20,23
53301,QNASL,Allergic Rhinitis,10,2017/4/17,3
165782,Levonorgestrel,Birth Control,9,2017/3/24,7
229932,Femara,Breast Cance,7,2015/9/26,56
200029,Varenicline,Smoking Cessation,10,2015/11/1,10
101328,Aubra,Birth Control,4,2016/11/27,2
78656,OnabotulinumtoxinA,Overactive Bladde,1,2016/9/19,54
63531,Epiduo,Acne,9,2015/6/24,8
104604,Ethinyl estradiol / levonorgestrel,Birth Control,9,2011/6/3,2
211675,Lamotrigine,Bipolar Disorde,7,2017/11/22,1
23033,Methadone,Opiate Withdrawal,10,2017/3/31,20
90624,Docosanol,Herpes Simplex,8,2014/12/4,16
170126,Quetiapine,Insomnia,10,2017/2/21,28
9471,Lo Loestrin Fe,Birth Control,5,2016/8/3,5
222701,Topamax,Migraine Prevention,1,2015/9/14,31
202071,Benzoyl peroxide / clindamycin,Acne,9,2016/4/10,0
80214,Benzonatate,Cough,1,2015/6/24,7
186168,Desvenlafaxine,Depression,9,2014/5/27,124
31269,Miconazole,Vaginal Yeast Infection,1,2016/8/19,3
82107,Liraglutide,Weight Loss,10,2016/4/24,19
20525,Vimpat,Seizures,9,2011/2/18,59
178661,Victoza,"Diabetes, Type 2",10,2017/1/31,5
112481,Trihexyphenidyl,Parkinson's Disease,2,2013/10/28,12
212579,Veramyst,Nasal Polyps,10,2009/9/4,42
59975,NuvaRing,Birth Control,4,2015/7/9,5
217194,Clarithromycin,Helicobacter Pylori Infection,1,2017/11/19,0
140981,Escitalopram,Generalized Anxiety Disorde,10,2016/3/22,78
21543,Erlotinib,Non-Small Cell Lung Cance,9,2016/1/29,43
20792,Orphenadrine,Muscle Spasm,1,2015/5/2,8
165916,Levonorgestrel,Birth Control,10,2017/3/5,7
15803,Ethinyl estradiol / norethindrone,Birth Control,10,2016/8/10,3
55401,Bupropion / naltrexone,Obesity,5,2015/10/20,16
99926,Magnesium sulfate / potassium sulfate / sodium sulfate,Bowel Preparation,8,2016/2/2,6
25794,Ethinyl estradiol / norelgestromin,Birth Control,10,2012/6/14,4
154486,Clopidogrel,Peripheral Arterial Disease,2,2013/2/4,24
219976,Amitriptyline,ibromyalgia,9,2016/3/8,34
48043,Cariprazine,Bipolar Disorde,2,2017/6/19,0
92195,Lyrica,Reflex Sympathetic Dystrophy Syndrome,1,2009/12/7,9
100775,Orlistat,Obesity,7,2016/4/15,54
166338,Levonorgestrel,Emergency Contraception,4,2016/11/21,2
96783,Neurontin,Peripheral Neuropathy,10,2008/4/28,183
196792,Paroxetine,Depression,1,2017/5/1,20
50870,Azithromycin,Sinusitis,9,2017/5/30,1
103910,Ethinyl estradiol / levonorgestrel,Birth Control,2,2014/9/10,22
46285,Modafinil,Depression,10,2016/3/10,48
11488,Pramipexole,Restless Legs Syndrome,8,2017/6/21,8
32533,Lisinopril,High Blood Pressure,8,2011/5/30,52
216987,Oxcarbazepine,Bipolar Disorde,8,2015/12/5,43
169720,Amitriptyline,Migraine Prevention,3,2011/11/12,8
17067,Flexeril,Muscle Spasm,7,2015/10/25,68
39281,Contrave,Weight Loss,1,2017/3/10,6
19288,Pregabalin,Neuropathic Pain,1,2016/7/6,36
29976,Klonopin,Anxiety,7,2016/7/10,76
185717,Saxenda,Obesity,10,2016/5/23,45
17919,Ethinyl estradiol / etonogestrel,Birth Control,10,2013/1/10,4
